side,qty,entry_price,closing_price,open_time,close_time,pnl
Sell,1,6415.75,6411.75,2025-08-20 09:45:00,2025-08-20 09:45:00,20
Buy,1,6392.5,6388.05,2025-08-21 09:45:00,2025-08-21 09:45:00,-22.24999999999909
Buy,1,6400.25,6404.25,2025-08-21 10:05:00,2025-08-21 10:05:00,20
Buy,1,6407,6411,2025-08-22 09:35:00,2025-08-22 09:35:00,20
Buy,1,6467.25,6471.25,2025-08-25 09:35:00,2025-08-25 09:35:00,20
Buy,1,6451.75,6455.75,2025-08-26 09:40:00,2025-08-26 09:40:00,20
Buy,1,6482,6477.75,2025-08-27 09:40:00,2025-08-27 09:45:00,-21.25
Buy,1,6482,6486,2025-08-27 10:00:00,2025-08-27 10:10:00,20
Sell,1,6494.5,6490.5,2025-08-29 09:45:00,2025-08-29 09:45:00,20
Buy,1,6475.5,6479.5,2025-09-01 09:45:00,2025-09-01 10:10:00,20
Sell,1,6452,6448,2025-09-03 09:45:00,2025-09-03 09:45:00,20
Buy,1,6535.25,6539.25,2025-09-05 09:35:00,2025-09-05 09:40:00,20
Buy,1,6509.25,6504.65,2025-09-09 09:40:00,2025-09-09 09:50:00,-23.00000000000182
Buy,1,6509.5,6513.5,2025-09-09 10:10:00,2025-09-09 10:10:00,20
Sell,1,6550,6546,2025-09-10 09:35:00,2025-09-10 09:50:00,20
Sell,1,6614,6610,2025-09-15 09:40:00,2025-09-15 09:40:00,20
Sell,1,6626.75,6622.75,2025-09-16 09:35:00,2025-09-16 09:35:00,20
Sell,1,6614.25,6610.25,2025-09-17 09:35:00,2025-09-17 09:40:00,20
Sell,1,6630,6626,2025-09-18 09:35:00,2025-09-18 09:40:00,20
Sell,1,6701,6707.45,2025-09-19 09:40:00,2025-09-19 09:45:00,-32.24999999999909
Sell,1,6704.25,6700.25,2025-09-19 10:25:00,2025-09-19 10:40:00,20
Buy,1,6707.75,6711.75,2025-09-22 09:40:00,2025-09-22 09:45:00,20
Buy,1,6751.5,6755.5,2025-09-23 09:45:00,2025-09-23 09:50:00,20
Sell,1,6723.25,6719.25,2025-09-24 09:35:00,2025-09-24 09:35:00,20
Sell,1,6652.25,6648.25,2025-09-25 09:35:00,2025-09-25 09:35:00,20
Buy,1,6686.5,6690.5,2025-09-26 09:35:00,2025-09-26 09:40:00,20
Sell,1,6721.5,6717.5,2025-09-29 09:35:00,2025-09-29 09:40:00,20
Buy,1,6720,6724,2025-10-01 09:35:00,2025-10-01 09:35:00,20
Sell,1,6776.5,6772.5,2025-10-02 09:35:00,2025-10-02 09:35:00,20
Buy,1,6778.75,6782.75,2025-10-03 09:35:00,2025-10-03 09:35:00,20
Sell,1,6782.25,6778.25,2025-10-06 09:35:00,2025-10-06 09:35:00,20
Sell,1,6770.5,6766.5,2025-10-08 09:40:00,2025-10-08 09:40:00,20
Buy,1,6791.5,6795.5,2025-10-10 09:35:00,2025-10-10 09:35:00,20
Sell,1,6671.25,6667.25,2025-10-13 09:35:00,2025-10-13 09:35:00,20
Sell,1,6614.75,6610.75,2025-10-14 09:40:00,2025-10-14 09:40:00,20
Sell,1,6733,6729,2025-10-16 09:35:00,2025-10-16 09:35:00,20
Buy,1,6745.75,6749.75,2025-10-20 09:35:00,2025-10-20 09:35:00,20
Buy,1,6774.75,6769.75,2025-10-21 09:35:00,2025-10-21 09:40:00,-25
Buy,1,6774.5,6769.75,2025-10-21 10:20:00,2025-10-21 10:25:00,-23.75
Buy,1,6772.5,6776.5,2025-10-21 10:45:00,2025-10-21 10:45:00,20
Buy,1,6742.25,6746.25,2025-10-23 09:35:00,2025-10-23 09:35:00,20
Buy,1,6824.5,6828.5,2025-10-24 09:35:00,2025-10-24 09:35:00,20
Sell,1,6917,6913,2025-10-28 09:40:00,2025-10-28 09:45:00,20
Sell,1,6885.75,6881.75,2025-10-30 09:35:00,2025-10-30 09:35:00,20
Sell,1,6894.25,6890.25,2025-10-31 09:40:00,2025-10-31 09:40:00,20
Sell,1,6898.25,6894.25,2025-11-03 09:35:00,2025-11-03 09:35:00,20
Buy,1,6819,6823,2025-11-04 09:45:00,2025-11-04 09:50:00,20
Sell,1,6817.75,6813.75,2025-11-06 09:35:00,2025-11-06 09:35:00,20
Sell,1,6706.75,6702.75,2025-11-07 09:35:00,2025-11-07 09:35:00,20
Buy,1,6821.25,6825.25,2025-11-10 09:35:00,2025-11-10 09:35:00,20
Buy,1,6844,6848,2025-11-11 09:35:00,2025-11-11 09:35:00,20
Sell,1,6891,6887,2025-11-12 09:40:00,2025-11-12 09:40:00,20
Sell,1,6842.75,6838.75,2025-11-13 09:35:00,2025-11-13 09:35:00,20
Buy,1,6697.75,6701.75,2025-11-14 09:40:00,2025-11-14 09:40:00,20
Buy,1,6749,6753,2025-11-17 09:35:00,2025-11-17 09:35:00,20
Buy,1,6665.5,6669.5,2025-11-18 09:35:00,2025-11-18 09:35:00,20
Buy,1,6665,6669,2025-11-19 09:45:00,2025-11-19 09:45:00,20
Buy,1,6769,6773,2025-11-20 09:35:00,2025-11-20 09:35:00,20
Sell,1,6659.75,6655.75,2025-11-24 09:45:00,2025-11-24 09:45:00,20
Sell,1,6703.5,6699.5,2025-11-25 09:45:00,2025-11-25 09:45:00,20
Buy,1,6811.75,6815.75,2025-11-26 09:35:00,2025-11-26 09:35:00,20
Buy,1,6827.25,6825.7,2025-11-27 09:40:00,2025-11-27 09:50:00,-7.7500000000009095
Buy,1,6827.75,6825.7,2025-11-27 10:10:00,2025-11-27 10:30:00,-10.25000000000091
Buy,1,6827.25,6825.7,2025-11-27 11:25:00,2025-11-27 11:45:00,-7.7500000000009095
Buy,1,6827.25,6831.25,2025-11-27 12:40:00,2025-11-28 09:30:00,20
Buy,1,6818,6822,2025-12-01 09:45:00,2025-12-01 09:45:00,20
Sell,1,6867.5,6863.5,2025-12-04 09:40:00,2025-12-04 09:40:00,20
Buy,1,6879.25,6883.25,2025-12-05 09:45:00,2025-12-05 09:45:00,20
Sell,1,6880.75,6876.75,2025-12-08 09:35:00,2025-12-08 09:40:00,20
Buy,1,6853.25,6857.25,2025-12-09 09:35:00,2025-12-09 09:35:00,20
Buy,1,6869.75,6865.15,2025-12-11 09:40:00,2025-12-11 09:45:00,-23.00000000000182
Buy,1,6871,6875,2025-12-11 10:20:00,2025-12-11 10:20:00,20
Sell,1,6893.75,6889.75,2025-12-12 09:45:00,2025-12-12 09:45:00,20
Sell,1,6853.75,6849.75,2025-12-15 09:35:00,2025-12-15 09:35:00,20
Sell,1,6808.5,6804.5,2025-12-16 09:35:00,2025-12-16 09:40:00,20
Sell,1,6809.75,6805.75,2025-12-17 09:35:00,2025-12-17 09:35:00,20
Sell,1,6789.25,6785.25,2025-12-18 09:35:00,2025-12-18 09:35:00,20
Buy,1,6862.25,6866.25,2025-12-19 09:40:00,2025-12-19 09:40:00,20
Sell,1,6915.25,6921.3,2025-12-22 09:40:00,2025-12-22 09:50:00,-30.25000000000091
Sell,1,6917.75,6913.75,2025-12-22 10:10:00,2025-12-22 10:10:00,20
Buy,1,6930.75,6934.75,2025-12-23 09:35:00,2025-12-23 09:35:00,20
Buy,1,6962.5,6966.5,2025-12-24 09:45:00,2025-12-24 09:50:00,20
Buy,1,6986.25,6990.25,2025-12-26 09:35:00,2025-12-26 09:35:00,20
Buy,1,6956.25,6960.25,2025-12-29 09:35:00,2025-12-29 09:35:00,20
Sell,1,6949,6945,2025-12-30 09:40:00,2025-12-30 09:45:00,20
Sell,1,6941.5,6937.5,2025-12-31 09:35:00,2025-12-31 09:35:00,20
Sell,1,6918.25,6914.25,2026-01-02 09:35:00,2026-01-02 09:35:00,20
Buy,1,6938.75,6942.75,2026-01-05 09:40:00,2026-01-05 09:40:00,20
Buy,1,6949.5,6953.5,2026-01-06 09:40:00,2026-01-06 09:45:00,20
Buy,1,6985.75,6989.75,2026-01-07 09:35:00,2026-01-07 09:35:00,20
Sell,1,6978,6974,2026-01-09 09:45:00,2026-01-09 09:45:00,20
Buy,1,6981.75,6985.75,2026-01-12 09:35:00,2026-01-12 09:35:00,20
Sell,1,7021.75,7017.75,2026-01-13 09:35:00,2026-01-13 09:35:00,20
Sell,1,6968.25,6964.25,2026-01-14 09:40:00,2026-01-14 09:40:00,20
Buy,1,7003.5,7007.5,2026-01-15 09:45:00,2026-01-15 09:45:00,20
Sell,1,6893.75,6889.75,2026-01-19 09:35:00,2026-01-19 09:35:00,20
Buy,1,6882,6886,2026-01-20 09:40:00,2026-01-20 09:40:00,20
Buy,1,6956.5,6960.5,2026-01-22 09:35:00,2026-01-22 09:35:00,20
Buy,1,6966,6970,2026-01-26 09:35:00,2026-01-26 09:35:00,20
Sell,1,6995,6991,2026-01-27 09:35:00,2026-01-27 09:35:00,20
Sell,1,7010.25,7006.25,2026-01-29 09:35:00,2026-01-29 09:35:00,20
Buy,1,6979,6983,2026-01-30 09:35:00,2026-01-30 09:35:00,20
Buy,1,6960.25,6964.25,2026-02-02 09:35:00,2026-02-02 09:35:00,20
Sell,1,7008,7004,2026-02-03 09:35:00,2026-02-03 09:35:00,20
Buy,1,6951.75,6955.75,2026-02-04 09:40:00,2026-02-04 09:40:00,20
Buy,1,6869.25,6873.25,2026-02-05 09:40:00,2026-02-05 09:40:00,20
Buy,1,6879.75,6883.75,2026-02-06 09:35:00,2026-02-06 09:35:00,20
Buy,1,6939.75,6943.75,2026-02-09 09:35:00,2026-02-09 09:35:00,20
Sell,1,6984.25,6980.25,2026-02-10 09:40:00,2026-02-10 09:40:00,20
Sell,1,6979.25,6975.25,2026-02-12 09:45:00,2026-02-12 09:45:00,20
Sell,1,6858.25,6854.25,2026-02-16 09:35:00,2026-02-16 09:35:00,20
Buy,1,6851.25,6855.25,2026-02-17 09:35:00,2026-02-17 09:35:00,20
Sell,1,6883.5,6879.5,2026-02-18 09:45:00,2026-02-18 09:45:00,20
Buy,1,6863.25,6867.25,2026-02-20 09:35:00,2026-02-20 09:35:00,20
Buy,1,6923.75,6927.75,2026-02-23 09:35:00,2026-02-23 09:35:00,20
Buy,1,6872.25,6876.25,2026-02-24 09:45:00,2026-02-24 09:45:00,20
Buy,1,6937.25,6941.25,2026-02-25 09:35:00,2026-02-25 09:35:00,20
Sell,1,6950.5,6946.5,2026-02-26 09:35:00,2026-02-26 09:35:00,20
Buy,1,6834.25,6838.25,2026-03-02 09:40:00,2026-03-02 09:40:00,20
Sell,1,6756.75,6752.75,2026-03-03 09:45:00,2026-03-03 09:45:00,20
Sell,1,6832.75,6828.75,2026-03-04 09:40:00,2026-03-04 09:40:00,20
Sell,1,6665,6661,2026-03-09 09:40:00,2026-03-09 09:40:00,20
Buy,1,6789.25,6775.8,2026-03-10 09:45:00,2026-03-10 09:55:00,-67.24999999999909
Buy,1,6789.5,6793.5,2026-03-10 10:25:00,2026-03-10 10:25:00,20
Buy,1,6794.75,6798.75,2026-03-11 09:35:00,2026-03-11 09:35:00,20
Sell,1,6718.25,6714.25,2026-03-12 09:45:00,2026-03-12 09:45:00,20
Buy,1,6699,6703,2026-03-16 09:35:00,2026-03-16 09:35:00,20
Buy,1,6799,6803,2026-03-17 09:35:00,2026-03-17 09:35:00,20
Buy,1,6633.75,6637.75,2026-03-19 09:45:00,2026-03-19 09:45:00,20
Sell,1,6627,6623,2026-03-20 09:35:00,2026-03-20 09:35:00,20
