time,open,high,low,close,Volume
2024-01-26 07:40:00,4903.0,4903.25,4901.75,4902.0,342
2024-01-29 08:40:00,4920.0,4920.25,4919.25,4919.75,302
2024-01-30 09:40:00,4948.0,4949.5,4947.5,4949.5,430
2024-01-31 10:40:00,4923.5,4924.25,4923.25,4924.25,365
2024-02-01 11:40:00,4887.75,4888.0,4887.0,4887.75,284
2024-02-02 12:40:00,4962.5,4963.0,4960.5,4963.0,895
2024-02-05 13:40:00,4966.0,4966.5,4965.0,4966.5,1974
2024-02-06 14:40:00,4971.25,4976.25,4971.0,4976.25,10629
2024-02-07 15:40:00,5009.0,5011.25,5006.75,5009.75,8516
2024-02-08 16:40:00,5009.75,5011.0,5007.25,5007.25,5847
2024-02-09 17:40:00,5031.75,5034.5,5031.75,5034.25,2668
2024-02-12 18:40:00,5050.75,5051.75,5048.0,5049.5,8136
2024-02-13 19:40:00,4957.25,4959.0,4953.25,4953.5,6003
2024-02-14 20:40:00,5009.75,5011.25,5008.5,5009.75,7673
2024-02-15 21:40:00,5050.75,5051.0,5049.0,5049.5,1314
2024-02-18 23:40:00,5022.5,5023.25,5022.5,5022.75,232
2024-02-20 04:40:00,5005.25,5005.25,5004.25,5005.0,214
2024-02-21 05:40:00,4986.0,4986.25,4985.25,4986.0,178
2024-02-22 06:40:00,5037.75,5039.25,5037.5,5039.0,1061
2024-02-23 07:40:00,5099.0,5099.5,5098.5,5099.5,241
2024-02-26 08:40:00,5091.75,5093.0,5091.0,5092.5,523
2024-02-27 09:40:00,5085.75,5086.25,5085.5,5086.0,273
2024-02-28 10:40:00,5072.25,5074.5,5072.0,5072.25,1047
2024-02-29 11:40:00,5068.5,5068.75,5067.75,5068.25,381
2024-03-01 12:40:00,5101.5,5101.5,5100.25,5100.75,631
2024-03-04 13:40:00,5136.75,5138.25,5136.5,5137.25,842
2024-03-05 14:40:00,5112.75,5114.5,5111.25,5113.25,10652
2024-03-06 15:40:00,5110.75,5112.0,5107.75,5110.0,7081
2024-03-07 16:40:00,5154.25,5155.5,5153.0,5154.25,4604
2024-03-08 17:40:00,5156.0,5158.0,5151.75,5153.5,8240
2024-03-11 17:40:00,5118.5,5120.0,5113.75,5114.75,2987
2024-03-12 18:40:00,5174.25,5174.5,5165.25,5165.75,3042
2024-03-13 19:40:00,5165.0,5170.5,5164.25,5168.0,2165
2024-03-14 20:40:00,5154.25,5156.5,5154.0,5156.5,77
2024-03-17 22:40:00,5189.75,5190.5,5188.75,5188.75,392
2024-03-18 23:40:00,5209.5,5210.0,5208.75,5208.75,510
2024-03-20 00:40:00,5237.75,5238.25,5237.5,5237.75,210
2024-03-21 01:40:00,5299.75,5299.75,5298.75,5299.5,445
2024-03-22 02:40:00,5300.75,5301.25,5299.25,5300.75,1197
2024-03-25 03:40:00,5289.5,5289.5,5288.0,5288.25,178
2024-03-26 04:40:00,5285.0,5285.25,5284.5,5284.75,99
2024-03-27 05:40:00,5282.5,5284.75,5282.5,5284.5,1086
2024-03-28 06:40:00,5304.25,5304.5,5304.0,5304.25,94
2024-04-01 07:40:00,5329.5,5329.5,5328.75,5329.25,219
2024-04-02 08:40:00,5292.75,5293.0,5289.75,5290.25,804
2024-04-03 09:40:00,5252.75,5253.25,5252.25,5252.5,323
2024-04-04 10:40:00,5280.5,5281.75,5280.25,5281.75,450
2024-04-05 11:40:00,5216.5,5219.5,5216.25,5217.75,2561
2024-04-08 12:40:00,5259.5,5260.75,5259.5,5259.75,1749
2024-04-09 13:40:00,5270.5,5271.25,5263.75,5264.75,11685
2024-04-10 14:40:00,5224.5,5225.0,5217.25,5217.5,11600
2024-04-11 15:40:00,5202.75,5207.25,5200.0,5200.25,10940
2024-04-12 16:40:00,5168.75,5170.5,5165.75,5166.75,12840
2024-04-15 17:40:00,5116.5,5125.0,5113.5,5117.25,16588
2024-04-16 18:40:00,5098.5,5103.25,5096.0,5100.75,10186
2024-04-17 19:40:00,5063.5,5071.25,5060.25,5069.25,12648
2024-04-18 20:40:00,5046.75,5047.5,5045.0,5045.25,837
2024-04-21 22:40:00,5017.0,5019.0,5016.75,5018.75,1122
